 Gender(0=Male;1=Female;) Height Weight GenderxHgt HeightZ WeightZ Shoe_Size Shoe_Number GenderxShoe_Size Year(1=Fresh;2=Soph;3=Jun;4=Sen;5=V5;) Pets Sibs Speed Cash Sleep Mother_age Father_age Random_Number Love(0=V0;1=V1;2=few;3=dozens;4=hundreds;5=thousands;6=millions;) Charity 
V488 0 72 145 0 1.27941547 -0.107550018 11.5 4 0 2 2 2 115 20 7 53 53 1 1 50 
V489 0 69 148 0 0.523557571 -0.01120781 9.5 5 0 2 6 1 121 19 7 50 50 6 6 30 
V490 1 68 145 68 0.271604938 -0.107550018 8.5 15 8.5 3 9 3 90 10 6 51 53 7 2 70 
V491 0 68 166 0 0.271604938 0.566845435 9.5 7 0 3 7 2 104 0 6 40 44 7 1 40 
V492 1 69 153 69 0.523557571 0.149362536 9.5 10 9.5 4 4 1 100 10 8 49 52 8 2 80 
V493 1 69 130 69 0.523557571 -0.589261055 9 20 9 2 3 2 90 20 7.5 52 59 4 2 95 
V494 1 62 115 62 -1.240110859 -1.070972093 7.5 10 7.5 2 1 4 105 0 6.5 44 46 7 1 75 
V495 1 69 177 69 0.523557571 0.920100196 10 30 10 2 0 2 105 45 7.5 50 50 9 2 50 
V496 0 69 160 0 0.523557571 0.37416102 10.5 3 0 3 5 1 80 200 6 51 52 8 2 10 
V497 0 66 127 0 -0.232300328 -0.685603263 9.5 5 0 2 0 1 90 60 8.5 52 54 3 1 50 
V498 1 60 120 60 -1.744016125 -0.910401747 4.5 45 4.5 2 1 0 120 3 6.5 50 52 2 3 55 
V499 0 66 184 0 -0.232300328 1.14489868 10.5 2 0 4 1 3 95 75 6.5 50 50 4 4 100 
V500 1 62 175 62 -1.240110859 0.855872058 7.5 50 7.5 3 5 1 110 200 7 47 49 7 2 50 
V501 1 67 135 67 0.019652305 -0.428690709 9 13 9 3 5 1 110 12 7 52 52 2 5 100 
V502 0 72 180 0 1.27941547 1.016442403 12 8 0 2 4 2 110 5 6 46 49 1 6 10 
V503 1 65 230 65 -0.48425296 2.622145862 8.5 40 8.5 2 1 0 80 600 8 52 50 4 2 25 
V504 0 71 154 0 1.027462837 0.181476605 10.5 8 0 2 1 1 120 42 7.5 41 43 10 4 25 
V505 1 65 160 65 -0.48425296 0.37416102 9.5 15 9.5 2 1 1 91 120 8.5 55 49 6 1 25 
V506 1 65 150 65 -0.48425296 0.053020328 7.5 27 7.5 3 0 2 90 45 6 49 49 7 3 50 
V507 0 75 195 0 2.035273369 1.498153441 11 5 0 2 0 1 115 70 7 49 53 7 0 50 
V508 1 63 115 63 -0.988158226 -1.070972093 6.5 17 6.5 2 1 3 80 3 8 52 52 3 2 90 
V509 1 66 115 66 -0.232300328 -1.070972093 8 30 8 2 3 1 110 0 8 48 49 4 2 90 
V510 1 68 160 68 0.271604938 0.37416102 10 10 10 3 2 3 90 80 8 47 50 7 5 20 
V511 1 65 170 65 -0.48425296 0.695301712 8.5 40 8.5 2 1 1 90 15 6.5 55 55 7 3 50 
V512 1 67 125 67 0.019652305 -0.749831401 10 18 10 2 4 3 90 16 7.5 52 57 1 2 87 
V513 1 64 126 64 -0.736205593 -0.717717332 6.5 40 6.5 3 3 1 90 16 7.5 57 57 3 1 25 
V514 1 68 160 68 0.271604938 0.37416102 9.5 10 9.5 3 7 2 109 38 4 41 45 8 4 90 
V515 1 64 119 64 -0.736205593 -0.942515816 7.5 17 7.5 2 2 3 65 35 8 48 52 7 2 80 
V516 1 67 135 67 0.019652305 -0.428690709 8.5 24 8.5 2 0 3 83 51 6 54 54 4 2 35 
V517 1 63 170 63 -0.988158226 0.695301712 9 74 9 2 7 2 90 30 7.5 51 51 6 1 50 
V518 1 67 135 67 0.019652305 -0.428690709 9.5 12 9.5 2 4 1 85 0 6 38 40 8 2 40 
V519 1 66 120 66 -0.232300328 -0.910401747 8 10 8 2 7 4 85 14 5.5 50 51 6 2 40 
V520 1 62 120 62 -1.240110859 -0.910401747 7.5 15 7.5 2 0 2 90 80 8 49 49 3 1 100 
V521 1 53 100 53 -3.507684555 -1.55268313 5.5 12 5.5 4 0 2 30 17 5 53 54 6 2 63 
V522 1 70 175 70 0.775510204 0.855872058 9 15 9 2 1 1 120 20 7 46 48 8 2 50 
V523 1 67 125 67 0.019652305 -0.749831401 9 40 9 2 2 2 100 100 7 54 61 5 3 50 
V524 1 67 132 67 0.019652305 -0.525032917 7 7 7 3 4 5 122 26 5 47 47 3 2 54 
V525 1 62 130 62 -1.240110859 -0.589261055 7 33 7 3 3 2 85 43 6 57 57 3 2 100 
V526 0 70 195 0 0.775510204 1.498153441 12 4 0 4 14 1 110 200 6.5 52 57 7 4 95 
V527 1 65 160 65 -0.48425296 0.37416102 8.5 8 8.5 2 2 2 80 5 5.5 51 53 5 2 25 
V528 1 72 146 72 1.27941547 -0.075435948 11 12 11 2 11 2 101 10 8 48 48 9 2 22 
V529 1 67 147 67 0.019652305 -0.043321879 8 14 8 2 1 2 65 2 8 46 54 6 2 43 
V530 1 66 132 66 -0.232300328 -0.525032917 7 100 7 2 0 1 120 200 6 53 48 5 2 30 
V531 1 67 247 67 0.019652305 3.168085038 9.5 10 9.5 4 0 4 30 0 6 44 44 9 1 30 
V532 1 67 122 67 0.019652305 -0.846173609 8 30 8 3 4 2 80 25 7.5 52 57 8 1 90 
V533 0 72 170 0 1.27941547 0.695301712 11.5 4 0 2 0 1 105 300 6 53 56 10 2 100 
V534 1 69 170 69 0.523557571 0.695301712 9 20 9 2 1 2 90 30 7 60 57 7 2 30 
V535 1 65 125 65 -0.48425296 -0.749831401 6.5 25 6.5 2 2 2 85 20 8.5 46 46 7 1 98 
V536 0 77 180 0 2.539178634 1.016442403 12 4 0 3 0 3 98 0 10 47 50 7 3 10 
V537 0 74 190 0 1.783320736 1.337583095 12 12 0 2 1 1 85 200 7.5 54 53 4 1 95 
V538 1 68 133 68 0.271604938 -0.492918848 9 29 9 2 1 1 82 20 7 49 54 2 2 80 
V539 1 68 155 68 0.271604938 0.213590674 10 10 10 2 30 2 80 20 7 50 51 7 1 75 
V540 1 67 145 67 0.019652305 -0.107550018 8 23 8 2 1 2 95 15 7 53 55 8 2 50 
V541 0 74 165 0 1.783320736 0.534731366 11.5 5 0 2 2 2 100 20 8.5 43 44 6 4 60 
V542 1 60 90 60 -1.744016125 -1.873823822 5.5 25 5.5 2 1 1 75 60 6 50 56 7 3 10 
V543 1 64 104 64 -0.736205593 -1.424226854 8.5 20 8.5 2 2 1 65 150 7 51 55 2 3 35 
V544 1 67 160 67 0.019652305 0.37416102 10 20 10 2 3 2 120 15 7 56 56 7 4 100 
V545 1 64 140 64 -0.736205593 -0.268120364 8 8 8 4 1 0 90 15 8.5 53 53 8 1 50 
V546 0 64 136 0 -0.736205593 -0.39657664 8 8 0 4 1 2 94 12 7 40 44 1 2 3 
V547 0 73 225 0 1.531368103 2.461575516 12 4 0 2 5 2 120 55 7.5 42 44 7 2 20 
V548 0 69 177 0 0.523557571 0.920100196 10 9 0 4 0 1 105 60 7 42 44 6 2 90 
V549 0 70 165 0 0.775510204 0.534731366 10 5 0 3 1 3 100 5 6 53 58 4 0 50 
V550 1 71 170 71 1.027462837 0.695301712 10.5 18 10.5 3 30 0 80 50 8.5 48 53 3 3 75 
V551 1 65 120 65 -0.48425296 -0.910401747 9 12 9 2 4 2 100 5 8 52 54 7 2 75 
V552 1 68 160 68 0.271604938 0.37416102 9 20 9 4 2 4 70 100 7 51 52 3 1 75 
V553 0 71 168 0 1.027462837 0.631073573 11 9 0 2 4 2 95 80 8.5 43 43 10 0 0 
V554 1 66 155 66 -0.232300328 0.213590674 8.5 15 8.5 2 9 3 100 60 6 62 61 4 6 75 
V555 1 64 136 64 -0.736205593 -0.39657664 7 18 7 1 0 1 80 77 7.5 55 58 3 1 40 
V556 0 73 200 0 1.531368103 1.658723787 12 6 0 2 6 2 100 0 6 50 58 4 3 75 
V557 1 70 150 70 0.775510204 0.053020328 10 25 10 4 1 2 86 0 7.5 54 58 3 2 25 
V558 1 62 125 62 -1.240110859 -0.749831401 7.5 14 7.5 1 1 7 80 38 6.5 60 62 8 2 98 
V559 0 73 160 0 1.531368103 0.37416102 13 4 0 2 2 2 75 75 7 47 49 2 1 100 
V560 1 63 144 63 -0.988158226 -0.139664087 9 14 9 3 1 4 80 20 7 64 65 3 3 90 
V561 0 72 200 0 1.27941547 1.658723787 13 4 0 2 0 1 93 26 7.5 46 49 4 2 90 
V562 1 67 162 67 0.019652305 0.438389158 9 14 9 4 3 2 90 80 5.5 53 52 7 1 30 
V563 1 65 160 65 -0.48425296 0.37416102 7.5 10 7.5 2 4 3 90 0 8 53 53 7 1 10 
V564 1 65 135 65 -0.48425296 -0.428690709 8 30 8 3 7 1 110 17 7.5 49 47 4 4 90 
V565 1 61 120 61 -1.492063492 -0.910401747 6 16 6 3 1 0 70 10 6.5 50 65 4 2 10 
V566 0 69 140 0 0.523557571 -0.268120364 10 3 0 2 2 2 80 35 6.5 51 52 8 5 55 
V567 0 68 150 0 0.271604938 0.053020328 11 5 0 3 0 2 110 50 6.5 45 43 6 2 32 
V568 1 66 125 66 -0.232300328 -0.749831401 8.5 30 8.5 3 1 2 110 12 6.5 56 58 5 1 100 
V569 1 62 125 62 -1.240110859 -0.749831401 7 10 7 2 4 1 70 10 7 51 51 6 2 30 
V570 1 68 160 68 0.271604938 0.37416102 9.5 15 9.5 2 3 2 80 20 6 51 59 6 2 90 
V571 1 65 125 65 -0.48425296 -0.749831401 8 10 8 2 0 1 80 85 7 48 53 7 2 30 
V572 0 77 195 0 2.539178634 1.498153441 12.5 4 0 3 2 9 95 31 7 62 65 7 2 0 
V573 0 72 175 0 1.27941547 0.855872058 10 5 0 2 4 3 100 50 7 46 46 7 2 50 
V574 1 67 155 67 0.019652305 0.213590674 10 15 10 2 2 1 90 0 7 49 55 6 2 60 
V575 0 66 161 0 -0.232300328 0.406275089 8 8 0 5 3 6 95 42 7 65 65 4 3 100 
V576 0 66 140 0 -0.232300328 -0.268120364 9.5 15 0 2 0 2 100 20 6 46 49 5 2 50 
V577 1 67 133 67 0.019652305 -0.492918848 9 30 9 2 0 1 60 5 7 46 60 4 2 50 
V578 1 68 125 68 0.271604938 -0.749831401 8 15 8 2 4 2 99 21 6 56 59 7 2 50 
V579 1 66 165 66 -0.232300328 0.534731366 9.5 6 9.5 3 1 3 75 3 6 52 53 7 1 74 
V580 0 73 145 0 1.531368103 -0.107550018 11 6 0 3 14 2 102 22 9 60 63 8 5 100 
V581 1 62 120 62 -1.240110859 -0.910401747 8.5 6 8.5 2 5 1 120 20 6 54 59 6 2 75 
V582 1 65 165 65 -0.48425296 0.534731366 11 11 11 4 3 2 115 10 5.5 53 54 7 2 49 
V583 0 72 220 0 1.27941547 2.30100517 11.5 10 0 4 3 5 115 100 6 46 48 3 1 25 
V584 0 76 176 0 2.287226002 0.887986127 11 7 0 3 0 0 28 1000 7 45 48 7 2 5 
V585 1 69 140 69 0.523557571 -0.268120364 9.5 15 9.5 2 2 3 95 40 8 49 50 9 1 90 
V586 1 64 107 64 -0.736205593 -1.327884646 7 12 7 2 1 1 90 70 8 54 56 7 2 30 
V587 1 64 135 64 -0.736205593 -0.428690709 7.5 8 7.5 2 1 0 80 18 8 60 58 7 2 0 
V588 1 69 180 69 0.523557571 1.016442403 9 13 9 2 4 1 87 58 8 48 47 5 2 30 
V589 1 65 128 65 -0.48425296 -0.653489194 8 25 8 3 5 1 115 1 8 52 51 7 2 10 
V590 0 71 185 0 1.027462837 1.177012749 10.5 8 0 2 1 3 110 0 7.5 49 49 3 1 25 
V591 0 72 185 0 1.27941547 1.177012749 13.5 6 0 2 0 3 90 10 6.5 49 48 6 3 50 
V592 0 72 165 0 1.27941547 0.534731366 11 11 0 2 1 2 95 500 8 53 54 5 3 30 
V593 1 69 130 69 0.523557571 -0.589261055 9 30 9 4 2 2 110 0 7.5 52 50 8 3 50 
V594 1 61 99 61 -1.492063492 -1.5847972 6 12 6 2 0 0 70 3 7 52 54 8 4 15 
V595 0 74 210 0 1.783320736 1.979864479 12 5 0 2 0 2 40 5 6 51 55 7 2 100 
V596 1 66 155 66 -0.232300328 0.213590674 11 13 11 2 4 1 95 30 7 52 58 7 3 100 
V597 1 58 93 58 -2.247921391 -1.777481615 4 20 4 2 2 3 84 25 7 37 46 4 1 60 
V598 0 72 165 0 1.27941547 0.534731366 12 1 0 2 0 0 100 200 7 46 57 1 2 50 
V599 0 70 192 0 0.775510204 1.401811234 10.5 3 0 3 1 1 140 0 7.5 51 53 6 2 90 
V600 0 69 178 0 0.523557571 0.952214265 10.5 8 0 2 2 4 106 35 6.5 48 52 4 5 60 
V601 0 76 185 0 2.287226002 1.177012749 12 5 0 2 2 1 90 2 8 48 51 5 1 5 
V602 1 62 135 62 -1.240110859 -0.428690709 8 20 8 1 6 2 80 40 8 42 47 6 3 40 
V603 0 67 150 0 0.019652305 0.053020328 10 5 0 2 0 2 85 3 8 51 51 4 2 50 
V604 1 63 124 63 -0.988158226 -0.78194547 5 25 5 2 1 2 100 15 8 44 46 5 1 50 
V605 1 69 143 69 0.523557571 -0.171778156 8 15 8 2 1 4 90 12 7 56 56 5 3 60 
V606 1 67 125 67 0.019652305 -0.749831401 9 10 9 2 6 3 80 7 4 35 36 9 2 25 
V607 1 66 270 66 -0.232300328 3.906708629 9.5 25 9.5 2 1 3 80 0 6.5 42 41 8 2 10 
V608 0 77 200 0 2.539178634 1.658723787 13 6 0 2 2 1 110 0 7.5 53 52 7 3 80 
V609 0 72 192 0 1.27941547 1.401811234 13 7 0 2 1 2 95 15 7 52 52 9 4 50 
V610 0 70 138 0 0.775510204 -0.332348502 10 5 0 3 5 2 85 200 7 52 55 7 5 100 
V611 1 68 123 68 0.271604938 -0.814059539 8 65 8 2 7 4 120 200 7 46 43 1 1 0 
V612 1 67 153 67 0.019652305 0.149362536 7 10 7 2 3 1 90 32 7.5 54 50 6 2 50 
V613 0 72 150 0 1.27941547 0.053020328 13 10 0 3 8 4 90 0 7 59 53 3 2 30 
V614 0 71 165 0 1.027462837 0.534731366 10.5 8 0 3 0 3 80 150 6.5 52 52 1 1 90 
V615 1 66 133 66 -0.232300328 -0.492918848 8.5 17 8.5 2 7 5 90 30 8.5 47 46 3 4 90 
V616 1 64 105 64 -0.736205593 -1.392112785 6 70 6 2 0 0 100 10 6.5 56 61 6 2 50 
V617 1 55 145 55 -3.003779289 -0.107550018 8 40 8 2 2 2 95 35 6.5 57 59 7 2 50 
V618 0 69 175 0 0.523557571 0.855872058 10 4 0 2 0 1 90 7 6 51 56 7 3 5 
V619 1 66 193 66 -0.232300328 1.433925303 8 61 8 2 1 1 91 9 6.5 49 51 1 2 95 
V620 1 67 125 67 0.019652305 -0.749831401 8.5 38 8.5 2 3 1 101 42 8 51 49 7 2 50 
V621 1 64 135 64 -0.736205593 -0.428690709 7 15 7 2 0 1 85 5 7 41 49 8 2 80 
V622 1 65 125 65 -0.48425296 -0.749831401 9 20 9 2 1 3 120 50 8 46 48 9 1 75 
V623 1 63 140 63 -0.988158226 -0.268120364 8.5 20 8.5 2 3 1 85 200 7.5 53 56 5 1 50 
V624 1 62 125 62 -1.240110859 -0.749831401 7 20 7 3 1 10 90 0 6 48 44 7 2 10 
V625 0 71 165 0 1.027462837 0.534731366 10.5 9 0 2 0 7 90 4 7 47 49 1 1 50 
V626 1 64 125 64 -0.736205593 -0.749831401 7 27 7 2 0 1 80 300 5 49 49 7 1 75 
V627 0 77 195 0 2.539178634 1.498153441 12 3 0 3 2 2 125 50 8 52 55 7 2 1 
V628 1 65 165 65 -0.48425296 0.534731366 8 30 8 3 6 2 90 29 6 50 53 7 1 50 
V629 1 64 178 64 -0.736205593 0.952214265 8.5 10 8.5 2 2 3 102 71 6.5 49 51 9 1 50 
V630 1 66 138 66 -0.232300328 -0.332348502 8.5 8 8.5 2 3 0 105 60 8 50 50 2 1 40 
V631 0 64 145 0 -0.736205593 -0.107550018 10 6 0 2 1 3 80 60 7 50 54 5 3 20 
V632 1 64 119 64 -0.736205593 -0.942515816 6.5 10 6.5 2 0 1 110 200 7 40 45 2 3 75 
V633 1 65 160 65 -0.48425296 0.37416102 10 10 10 2 8 0 115 20 7 42 44 5 2 100 
V634 0 73 175 0 1.531368103 0.855872058 12 4 0 2 2 2 120 10 7 50 51 8 2 65 
V635 0 66 145 0 -0.232300328 -0.107550018 8.5 3 0 2 1 1 96 20 6 53 53 4 5 40 
V636 1 64 125 64 -0.736205593 -0.749831401 7 8 7 2 5 6 87 4 7.5 48 48 4 2 55 
V637 1 66 111 66 -0.232300328 -1.19942837 8 15 8 2 4 1 90 8 7 46 47 6 2 90 
V638 1 67 145 67 0.019652305 -0.107550018 9 15 9 2 7 3 80 10 8.5 47 46 4 2 65 
V639 1 66 190 66 -0.232300328 1.337583095 10 55 10 2 3 1 115 20 8 51 52 7 2 40 
V640 1 60 99 60 -1.744016125 -1.5847972 6 15 6 2 2 1 90 100 7 41 44 2 1 40 
V641 1 64 106 64 -0.736205593 -1.359998715 6.5 12 6.5 2 2 1 70 10 7 47 48 3 1 10 
V642 1 63 108 63 -0.988158226 -1.295770577 7 28 7 2 8 3 85 1 8 54 57 8 3 95 
V643 1 65 104 65 -0.48425296 -1.424226854 7 15 7 2 1 0 80 20 7 46 51 7 2 50 
V644 1 61 160 61 -1.492063492 0.37416102 8 50 8 2 0 0 85 140 7 47 47 2 1 50 
V645 1 65 114 65 -0.48425296 -1.103086162 7.5 13 7.5 3 0 2 100 140 7 63 64 2 2 50 
V646 0 67 135 0 0.019652305 -0.428690709 8 8 0 1 1 1 95 0 7 45 46 3 1 20 
V647 0 73 170 0 1.531368103 0.695301712 11 10 0 3 3 1 85 15 5 57 58 8 1 90 
V648 1 64 165 64 -0.736205593 0.534731366 8.5 15 8.5 3 2 1 120 15 6.5 50 60 10 2 10 
V649 1 66 141 66 -0.232300328 -0.236006294 8 9 8 2 4 3 80 1 8 51 54 8 2 30 
V650 1 63 130 63 -0.988158226 -0.589261055 7 20 7 2 3 4 125 6 7 47 47 9 3 10 
V651 1 66 155 66 -0.232300328 0.213590674 8.5 51 8.5 4 5 1 90 6 5.5 57 59 4 2 50 
V652 0 70 170 0 0.775510204 0.695301712 11.5 5 0 2 0 1 115 21 7.5 43 46 7 4 100 
V653 1 62 150 62 -1.240110859 0.053020328 8.5 10 8.5 2 3 1 75 20 8 43 44 8 2 50 
V654 1 66 130 66 -0.232300328 -0.589261055 8 30 8 2 4 2 100 20 6 52 53 3 1 100 
V655 1 68 138 68 0.271604938 -0.332348502 8 42 8 3 6 0 82 43 7 52 50 5 2 99 
V656 1 65 180 65 -0.48425296 1.016442403 8.5 10 8.5 2 1 1 100 0 6.5 49 48 6 1 100 
V657 1 64 170 64 -0.736205593 0.695301712 9.5 10 9.5 2 1 3 80 1 8.5 50 60 6 4 85 
V658 1 66 160 66 -0.232300328 0.37416102 9 25 9 3 1 1 100 30 7 54 54 6 4 50 
V659 0 72 200 0 1.27941547 1.658723787 8.5 3 0 2 1 2 100 500 5 37 47 1 1 50 
V660 1 68 145 68 0.271604938 -0.107550018 8.5 25 8.5 2 5 1 100 5 6 47 51 7 2 75 
V661 1 62 135 62 -1.240110859 -0.428690709 7 13 7 2 1 2 70 0 6 47 51 2 1 50 
V662 1 67 127 67 0.019652305 -0.685603263 8 11 8 2 1 1 91 71 6.5 47 47 5 1 25 
V663 1 66 143 66 -0.232300328 -0.171778156 8.5 8 8.5 3 8 2 60 20 6.5 47 40 3 4 73 
V664 1 65 135 65 -0.48425296 -0.428690709 7 25 7 2 6 1 90 40 7 49 49 8 2 100 
V665 1 66 140 66 -0.232300328 -0.268120364 8.5 10 8.5 2 5 3 90 22 7.5 48 50 6 2 90 
V666 0 66 150 0 -0.232300328 0.053020328 8 5 0 2 1 1 62 1000 8 45 48 5 2 90 
V667 0 71 180 0 1.027462837 1.016442403 12 7 0 2 1 1 85 17 6 51 50 2 3 50 
V668 0 71 158 0 1.027462837 0.309932882 10 6 0 3 8 1 120 4 7 49 51 6 3 50 
V669 1 66 145 66 -0.232300328 -0.107550018 8 60 8 3 1 3 80 25 7 54 54 6 3 50 
V670 1 59 125 59 -1.995968758 -0.749831401 7 12 7 3 1 1 85 300 7 50 53 8 2 90 
V671 0 67 120 0 0.019652305 -0.910401747 10 10 0 3 2 2 115 10 7 54 50 7 2 90 
V672 0 71 175 0 1.027462837 0.855872058 10.5 5 0 2 5 1 90 20 8 47 47 7 6 100 
V673 1 65 255 65 -0.48425296 3.424997591 11 30 11 3 5 4 30 200 8 39 42 5 3 50 
V674 0 69 133 0 0.523557571 -0.492918848 10.5 4 0 2 0 1 65 5 7 51 58 3 3 90 
V675 1 70 135 70 0.775510204 -0.428690709 9 25 9 2 1 2 90 20 7.5 46 50 8 2 25 
V676 0 73 184 0 1.531368103 1.14489868 12 8 0 3 9 1 107 120 7.5 50 49 8 4 0 
V677 1 67 145 67 0.019652305 -0.107550018 7.5 50 7.5 2 2 1 95 35 8 52 54 1 2 75 
V678 1 64 150 64 -0.736205593 0.053020328 8.5 13 8.5 2 1 2 126 22 7.5 43 51 7 2 90 
V679 1 69 160 69 0.523557571 0.37416102 10 25 10 4 0 1 97 17 6 58 58 7 1 90 
V680 0 70 182 0 0.775510204 1.080670542 11 10 0 2 3 1 140 20 6 52 58 3 4 5 
V681 1 64 130 64 -0.736205593 -0.589261055 6 12 6 3 0 0 80 0 7 52 55 4 5 30 
V682 1 66 150 66 -0.232300328 0.053020328 9 60 9 3 3 2 85 20 7.5 43 48 10 2 50 
V683 0 75 220 0 2.035273369 2.30100517 12.5 5 0 3 3 3 90 100 6 52 52 9 2 10 
V684 1 65 106 65 -0.48425296 -1.359998715 7.5 30 7.5 2 11 2 102 15 11 52 59 1 1 60 
V685 1 69 105 69 0.523557571 -1.392112785 9 40 9 2 5 1 88 80 7 44 47 6 1 75 
V686 0 67 146 0 0.019652305 -0.075435948 8.5 3 0 2 2 1 105 200 6.5 50 51 10 1 99 
V687 0 69 200 0 0.523557571 1.658723787 12 5 0 2 8 3 120 35 8 48 48 4 2 75 
V688 0 72 140 0 1.27941547 -0.268120364 11 6 0 2 0 0 85 110 8 52 57 6 3 100 
V689 1 62 113 62 -1.240110859 -1.135200231 7.5 25 7.5 2 3 2 105 30 8 53 53 3 2 50 
V690 1 63 120 63 -0.988158226 -0.910401747 6 30 6 2 0 0 80 700 8 48 50 7 0 60 
V691 0 68 190 0 0.271604938 1.337583095 10.5 5 0 5 0 1 85 30 7 57 59 7 3 10 
V692 0 71 160 0 1.027462837 0.37416102 11.5 10 0 3 3 2 107 300 7 45 45 6 2 10 
V693 0 74 215 0 1.783320736 2.140434824 13 6 0 2 2 1 90 500 6.5 49 54 6 2 15 
V694 1 65 155 65 -0.48425296 0.213590674 9 37 9 2 7 3 90 4 7 49 55 6 2 80 
V695 1 62 110 62 -1.240110859 -1.231542439 6 25 6 3 4 2 80 75 7 49 49 7 1 100 
V696 1 69 190 69 0.523557571 1.337583095 10 15 10 2 0 2 128 29 6 57 62 7 2 25 
V697 1 66 147 66 -0.232300328 -0.043321879 9 15 9 2 1 2 124 28 8 46 55 3 3 65 
V698 1 63 126 63 -0.988158226 -0.717717332 7.5 33 7.5 2 2 5 103 63 7.5 47 47 2 1 40 
V699 1 70 140 70 0.775510204 -0.268120364 9 35 9 2 1 2 85 5 6.5 48 50 9 2 99 
V700 1 66 165 66 -0.232300328 0.534731366 7 20 7 2 5 2 105 5 8 55 57 9 2 10 
V701 1 65 148 65 -0.48425296 -0.01120781 9 15 9 2 5 1 115 31 10 47 48 9 2 50 
V702 1 67 150 67 0.019652305 0.053020328 8 24 8 2 6 3 120 85 5 45 50 3 1 20 
V703 0 67 135 0 0.019652305 -0.428690709 8.5 6 0 2 0 1 100 75 7 44 46 6 3 20 
V704 1 62 99 62 -1.240110859 -1.5847972 6.5 40 6.5 2 4 1 130 1000 8 44 50 9 1 15 
V705 1 65 140 65 -0.48425296 -0.268120364 8 19 8 2 1 2 100 0 8.5 41 42 6 1 100 
V706 1 68 190 68 0.271604938 1.337583095 10 10 10 2 1 1 80 5 8 47 48 3 3 5 
V707 1 62 125 62 -1.240110859 -0.749831401 6 17 6 3 4 2 82 107 6.5 53 56 7 1 50 
V708 1 65 117 65 -0.48425296 -1.006743955 7.5 15 7.5 2 0 1 85 0 6 46 46 8 1 100 
V709 1 67 155 67 0.019652305 0.213590674 8 15 8 3 3 1 100 5 8 48 48 7 2 75 
V710 1 69 150 69 0.523557571 0.053020328 8 27 8 3 3 1 140 4 6 52 54 2 2 95 
V711 1 67 137 67 0.019652305 -0.364462571 8 20 8 4 5 2 90 1 7 52 51 5 2 50 
V712 0 67 160 0 0.019652305 0.37416102 9 4 0 2 2 1 90 30 7 52 54 5 3 70 
V713 1 66 115 66 -0.232300328 -1.070972093 7.5 20 7.5 2 0 2 90 10 7 46 50 5 2 85 
V714 1 62 140 62 -1.240110859 -0.268120364 7.5 40 7.5 2 0 1 100 0 7.5 58 60 3 3 90 
V715 0 72 172 0 1.27941547 0.75952985 11.5 20 0 2 3 1 120 2 6 59 56 7 1 30 
V716 0 70 154 0 0.775510204 0.181476605 10.5 8 0 2 0 1 105 1 7 53 54 5 2 25 
V717 0 68 141 0 0.271604938 -0.236006294 8.5 5 0 2 0 0 60 15 6.5 45 47 8 1 50 
V718 1 63 115 63 -0.988158226 -1.070972093 7 10 7 2 2 2 82 20 6 51 51 4 2 100 
V719 1 65 105 65 -0.48425296 -1.392112785 7 10 7 2 3 1 90 13 9.5 45 48 2 3 43 
V720 1 66 100 66 -0.232300328 -1.55268313 7 30 7 4 1 4 110 5 6.5 43 41 6 2 40 
V721 1 66 145 66 -0.232300328 -0.107550018 8 17 8 2 0 2 110 20 8 51 50 2 2 60 
V722 0 72 170 0 1.27941547 0.695301712 13.5 6 0 3 12 1 140 12 6.5 41 45 3 2 12 
V723 1 66 129 66 -0.232300328 -0.621375124 8 7 8 3 5 2 115 200 6.5 51 57 8 3 99 
V724 1 64 145 64 -0.736205593 -0.107550018 5.5 5 5.5 2 0 2 90 12 5 49 54 8 0 45 
V725 1 60 105 60 -1.744016125 -1.392112785 6 50 6 2 2 1 100 40 7.5 55 53 2 2 75 
V726 1 63 106 63 -0.988158226 -1.359998715 6.5 30 6.5 2 8 1 85 20 8 44 45 9 2 50 
V727 1 61 110 61 -1.492063492 -1.231542439 7 10 7 2 0 2 20 10 8 45 49 2 1 50 
V728 1 63 115 63 -0.988158226 -1.070972093 6.5 25 6.5 2 6 2 85 60 8.5 51 52 2 2 100 
V729 1 63 112 63 -0.988158226 -1.1673143 8 22 8 2 2 3 70 50 7 53 55 2 3 65 
V730 0 69 145 0 0.523557571 -0.107550018 11 9 0 3 3 3 110 20 5 47 48 5 5 50 
V731 1 63 137 63 -0.988158226 -0.364462571 9 30 9 4 4 2 110 0 7 47 47 4 3 98 
V732 0 67 165 0 0.019652305 0.534731366 10.5 4 0 2 2 1 115 2 7 55 57 2 1 50 
V733 0 76 215 0 2.287226002 2.140434824 13.5 5 0 2 0 3 95 15 8 41 45 8 2 15 
V734 1 62 115 62 -1.240110859 -1.070972093 8.5 20 8.5 3 1 1 102 14 5 54 54 4 2 20 
V735 0 68 180 0 0.271604938 1.016442403 11.5 10 0 2 0 1 80 10 7 48 57 3 2 80 
V736 1 64 100 64 -0.736205593 -1.55268313 6 11 6 2 0 1 80 40 7 48 53 6 2 2 
V737 0 68 152 0 0.271604938 0.117248467 7 6 0 3 1 1 140 16 8 54 55 7 6 50 
V738 1 64 115 64 -0.736205593 -1.070972093 7.5 15 7.5 2 1 1 100 50 6.5 50 57 7 2 5 
