 Gender(0=Male;1=Female;) Height Weight GenderxHgt HeightZ WeightZ Shoe_Size Shoe_Number GenderxShoe_Size Year(1=Fresh;2=Soph;3=Jun;4=Sen;5=V5;) Pets Sibs Speed Cash Sleep Mother_age Father_age Random_Number Love(0=V0;1=V1;2=few;3=dozens;4=hundreds;5=thousands;6=millions;) Charity 
V126 0 70 170 0 0.775510204 0.695301712 10 10 0 3 1 2 120 0 7 58 60 7 3 25 
V127 1 65 120 65 -0.48425296 -0.910401747 7.5 10 7.5 4 0 1 100 200 7 54 56 3 1 15 
V128 1 66 132 66 -0.232300328 -0.525032917 7.5 12 7.5 2 3 1 100 0 7.5 48 55 4 2 25 
V129 1 61 135 61 -1.492063492 -0.428690709 7 20 7 2 6 3 60 10 6.5 37 41 7 1 70 
V130 1 66 125 66 -0.232300328 -0.749831401 8.5 25 8.5 2 1 1 110 7 7 56 59 5 2 60 
V131 1 66 175 66 -0.232300328 0.855872058 9 10 9 3 0 1 90 104 5.5 53 53 10 2 18 
V132 1 67 129 67 0.019652305 -0.621375124 8 57 8 2 3 1 135 73 6 46 46 3 1 18 
V133 1 62 135 62 -1.240110859 -0.428690709 6 76 6 3 1 1 70 30 4 46 49 6 1 50 
V134 1 64 130 64 -0.736205593 -0.589261055 7.5 11 7.5 2 0 2 80 76 8 53 59 5 2 50 
V135 1 63 131 63 -0.988158226 -0.557146986 7 13 7 3 1 1 95 0 5.5 50 54 7 2 90 
V136 1 70 145 70 0.775510204 -0.107550018 9.5 22 9.5 2 9 2 95 4 6 49 50 8 2 50 
V137 1 68 130 68 0.271604938 -0.589261055 8 10 8 2 0 2 45 90 7 59 61 4 1 90 
V138 1 65 132 65 -0.48425296 -0.525032917 8.5 15 8.5 2 0 2 100 22 6.5 56 64 6 2 70 
V139 1 60 120 60 -1.744016125 -0.910401747 6 18 6 2 2 1 90 40 6.5 50 52 10 5 20 
V140 1 66 164 66 -0.232300328 0.502617297 9.5 13 9.5 2 5 1 85 14 8 48 55 10 2 40 
V141 1 64 132 64 -0.736205593 -0.525032917 7.5 10 7.5 2 4 2 95 0 6 55 60 9 1 15 
V142 0 69 175 0 0.523557571 0.855872058 10.5 4 0 4 2 1 110 3 7 48 48 1 3 10 
V143 1 61 130 61 -1.492063492 -0.589261055 6 20 6 2 3 1 90 40 7 44 44 4 2 75 
V144 1 61 110 61 -1.492063492 -1.231542439 6 15 6 2 1 1 80 150 6 49 54 5 1 50 
V145 0 70 206 0 0.775510204 1.851408202 11 7 0 4 17 1 116 80 7 47 49 7 1 50 
V146 1 63 165 63 -0.988158226 0.534731366 8 15 8 2 2 2 90 13 6.5 48 48 6 1 100 
V147 1 65 140 65 -0.48425296 -0.268120364 8 18 8 2 1 3 95 14 5.5 48 47 7 3 85 
V148 0 71 155 0 1.027462837 0.213590674 11 11 0 2 1 1 148 2 7 44 45 5 4 50 
V149 1 65 126 65 -0.48425296 -0.717717332 7.5 45 7.5 2 2 0 80 2 8.5 56 65 10 2 30 
